Reading records: 973ms
KD-tree:
Element 225 of 20000, Depth 13, Axis 1: lon=-43.95, lat=-19.92
Element 226 of 20000, Depth 12, Axis 0: lon=-42.60, lat=-19.45
Element 227 of 20000, Depth 13, Axis 1: lon=-40.39, lat=-19.68
Element 228 of 20000, Depth 14, Axis 0: lon=-42.43, lat=-13.45
Element 229 of 20000, Depth 11, Axis 1: lon=-38.49, lat=-12.88
Element 230 of 20000, Depth 13, Axis 1: lon=-40.96, lat=-9.57
Element 231 of 20000, Depth 12, Axis 0: lon=-37.10, lat=-10.54
Element 232 of 20000, Depth 13, Axis 1: lon=-36.54, lat=-9.73
Element 233 of 20000, Depth 14, Axis 0: lon=-35.71, lat=-9.54
Element 234 of 20000, Depth 7, Axis 1: lon=-37.79, lat=-8.38
Element 235 of 20000, Depth 13, Axis 1: lon=-69.47, lat=4.53
Element 236 of 20000, Depth 12, Axis 0: lon=-69.19, lat=2.61
Element 237 of 20000, Depth 13, Axis 1: lon=-69.00, lat=2.50
Element 238 of 20000, Depth 11, Axis 1: lon=-69.50, lat=5.00
Element 239 of 20000, Depth 13, Axis 1: lon=-69.25, lat=9.17
Element 240 of 20000, Depth 12, Axis 0: lon=-68.83, lat=7.17
Element 241 of 20000, Depth 13, Axis 1: lon=-68.33, lat=9.33
Element 242 of 20000, Depth 14, Axis 0: lon=-68.08, lat=10.17
Element 243 of 20000, Depth 10, Axis 0: lon=-67.17, lat=10.00
Element 244 of 20000, Depth 13, Axis 1: lon=-65.52, lat=6.68
Element 245 of 20000, Depth 12, Axis 0: lon=-63.50, lat=6.33
Element 246 of 20000, Depth 13, Axis 1: lon=-63.43, lat=-3.78
Element 247 of 20000, Depth 14, Axis 0: lon=-61.20, lat=1.84
Element 248 of 20000, Depth 11, Axis 1: lon=-61.81, lat=8.61
Element 249 of 20000, Depth 13, Axis 1: lon=-66.58, lat=8.67
Element 250 of 20000, Depth 12, Axis 0: lon=-64.50, lat=9.00
Element 251 of 20000, Depth 13, Axis 1: lon=-61.56, lat=8.63
Element 252 of 20000, Depth 14, Axis 0: lon=-63.00, lat=9.33
Element 253 of 20000, Depth 9, Axis 1: lon=-69.82, lat=10.23
Element 254 of 20000, Depth 13, Axis 1: lon=-68.75, lat=10.33
Element 255 of 20000, Depth 12, Axis 0: lon=-66.97, lat=10.47
Element 256 of 20000, Depth 13, Axis 1: lon=-66.91, lat=10.51
Element 257 of 20000, Depth 14, Axis 0: lon=-66.94, lat=10.52
