Reading records: 247ms
Depth 11, Axis 1: lon=-53.033375, lat=3.929688
Depth 12, Axis 0: lon=-58.141152, lat=3.896945
Depth 13, Axis 1: lon=-58.978482, lat=2.844963
Depth 14, Axis 0: lon=-60.372468, lat=-2.573000
Depth 13, Axis 1: lon=-53.033375, lat=3.929688
Depth 12, Axis 0: lon=-56.189887, lat=4.028347
Depth 13, Axis 1: lon=-58.939880, lat=4.887320
Depth 14, Axis 0: lon=-59.419437, lat=4.862161
Depth 13, Axis 1: lon=-53.011407, lat=4.045574
Depth 11, Axis 1: lon=-45.255410, lat=-5.506411
Depth 12, Axis 0: lon=-36.536307, lat=-5.845635
Depth 13, Axis 1: lon=-41.729542, lat=-6.752126
Depth 14, Axis 0: lon=-36.645503, lat=-7.163960
Depth 13, Axis 1: lon=-34.929569, lat=-8.040209
Depth 12, Axis 0: lon=-39.357362, lat=-5.216848
Depth 13, Axis 1: lon=-51.973144, lat=1.718962
Depth 14, Axis 0: lon=-51.993038, lat=-3.624182
Depth 13, Axis 1: lon=-38.526282, lat=-3.789701
Depth 10, Axis 0: lon=-58.126939, lat=6.454202
Depth 11, Axis 1: lon=-59.533422, lat=13.190000
Depth 12, Axis 0: lon=-58.828947, lat=7.206385
Depth 13, Axis 1: lon=-59.710548, lat=7.744972
Depth 14, Axis 0: lon=-59.853268, lat=6.187502
Depth 13, Axis 1: lon=-58.534228, lat=6.602116
Depth 12, Axis 0: lon=-61.008025, lat=14.652174
Depth 13, Axis 1: lon=-61.015736, lat=14.636828
Depth 14, Axis 0: lon=-61.015736, lat=14.636828
Depth 13, Axis 1: lon=-60.978944, lat=13.891000
Depth 11, Axis 1: lon=-38.320312, lat=13.581921
Depth 12, Axis 0: lon=-16.562471, lat=13.441346
Depth 13, Axis 1: lon=-16.654680, lat=13.453611
Depth 14, Axis 0: lon=-57.823910, lat=6.276690
Depth 13, Axis 1: lon=-16.562471, lat=13.441346
Depth 12, Axis 0: lon=-16.952927, lat=14.794809
Depth 13, Axis 1: lon=-17.322639, lat=14.776512
Depth 13, Axis 1: lon=-16.402402, lat=13.940604
Depth 6, Axis 0: lon=-83.749571, lat=42.273332
Depth 7, Axis 1: lon=-92.498483, lat=34.750951
Depth 8, Axis 0: lon=-97.340613, lat=32.800390
Depth 9, Axis 1: lon=-170.000000, lat=30.000000
Depth 10, Axis 0: lon=-102.309761, lat=27.206906
Depth 11, Axis 1: lon=-158.036404, lat=21.483496
Depth 12, Axis 0: lon=-155.426890, lat=19.587268
Depth 13, Axis 1: lon=-157.846644, lat=21.325079
Depth 14, Axis 0: lon=-156.310683, lat=20.802957
Depth 13, Axis 1: lon=-103.217349, lat=20.838057
Depth 12, Axis 0: lon=-107.367428, lat=24.754575
Depth 13, Axis 1: lon=-110.554847, lat=29.392721
Depth 14, Axis 0: lon=-159.558768, lat=22.050466
Depth 13, Axis 1: lon=-104.871485, lat=21.843877
Depth 11, Axis 1: lon=-97.420432, lat=19.350390
Depth 12, Axis 0: lon=-99.151701, lat=19.320556
Depth 13, Axis 1: lon=-101.667850, lat=19.155956
Depth 14, Axis 0: lon=-99.946299, lat=17.601956
Depth 13, Axis 1: lon=-99.101816, lat=18.732125
Depth 12, Axis 0: lon=-98.557649, lat=29.458676
Depth 13, Axis 1: lon=-102.267520, lat=23.553573
Depth 14, Axis 0: lon=-101.257357, lat=20.877141
Depth 13, Axis 1: lon=-98.359451, lat=24.944635
Depth 10, Axis 0: lon=-116.964166, lat=32.500862
Depth 11, Axis 1: lon=-118.494513, lat=34.008797
Depth 12, Axis 0: lon=-117.752205, lat=33.640873
Depth 13, Axis 1: lon=-117.933486, lat=33.834029
Depth 14, Axis 0: lon=-118.158049, lat=33.785389
Depth 13, Axis 1: lon=-117.152144, lat=32.824663
Depth 12, Axis 0: lon=-118.329990, lat=34.102827
Depth 13, Axis 1: lon=-119.702911, lat=34.400493
Depth 14, Axis 0: lon=-118.487549, lat=34.019657
Depth 13, Axis 1: lon=-118.173587, lat=34.184570
Depth 11, Axis 1: lon=-116.725700, lat=33.018001
Depth 12, Axis 0: lon=-99.682953, lat=31.168570
Depth 13, Axis 1: lon=-110.818352, lat=32.156301
Depth 14, Axis 0: lon=-106.501349, lat=31.811131
Depth 13, Axis 1: lon=-97.713631, lat=30.307766
Depth 12, Axis 0: lon=-106.045176, lat=34.184858
Depth 13, Axis 1: lon=-111.668594, lat=34.168539
